"doc_id"	"paragraph_id"	"sentence_id"	"sentence"	"token_id"	"token"	"lemma"	"upos"	"xpos"	"feats"	"head_token_id"	"dep_rel"	"deps"	"misc"
"56"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"56"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"57"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"57"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"58"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"58"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"59"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"59"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"60"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"60"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"61"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"61"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"62"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"62"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"63"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"63"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"64"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"64"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"65"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"65"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"66"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"66"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"67"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"67"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"68"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"68"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"69"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"69"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"70"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"70"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"71"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"71"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"72"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"72"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"73"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"73"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"74"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"74"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"75"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"75"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"76"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"76"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"77"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"77"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"78"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"78"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"79"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"79"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"80"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"80"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"81"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"81"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"82"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"82"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"83"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"83"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"84"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"84"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpacesAfter=\n"
"85"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"85"	"Книга"	"книга"	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"86"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"86"	":"	":"	"PUNCT"	NA	NA	NA	NA	NA	NA
"87"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"87"	"К."	"К."	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"88"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"88"	"М."	"М."	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"89"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"89"	"Станюкович"	"Станюкович"	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"90"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"90"	"."	"."	"PUNCT"	NA	NA	NA	NA	NA	NA
"91"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"1"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"92"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"2"	"Морские"	"морской"	"ADJ"	NA	"Case=Nom|Degree=Pos|Number=Plur"	NA	NA	NA	NA
"93"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"3"	"рассказы"	"рассказ"	"NOUN"	NA	"Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur"	NA	NA	NA	"SpaceAfter=No"
"94"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"4"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpacesAfter=\n"
"95"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"5"	"Издательство"	"издательство"	"NOUN"	NA	"Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing"	NA	NA	NA	NA
"96"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"6"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"97"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"7"	"Юнацтва"	"Юнацтво"	"PROPN"	NA	"Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur"	NA	NA	NA	"SpaceAfter=No"
"98"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"8"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"99"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"9"	","	","	"PUNCT"	NA	NA	NA	NA	NA	NA
"100"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"10"	"Минск"	"Минск"	"PROPN"	NA	"Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"101"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"11"	","	","	"PUNCT"	NA	NA	NA	NA	NA	NA
"102"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"12"	"1981"	"1981"	"NUM"	NA	NA	NA	NA	NA	"SpacesAfter=\n"
"103"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"13"	"Художник"	"художник"	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	NA
"104"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"14"	"Е."	"Е."	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"105"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"15"	"А."	"А."	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpaceAfter=No"
"106"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"16"	"Игнатьев"	"Игнатьев"	"PROPN"	NA	"Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpacesAfter=\n"
"107"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"17"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"108"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"18"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"109"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"19"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"110"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"20"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"111"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"21"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"112"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"22"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"113"	"doc1"	1	2	"\"Морские рассказы\" Издательство \"Юнацтва\", Минск, 1981 Художник Е.А.Игнатьев ---------------------------------------------------------------------------"	"23"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
